Experiment,Parent Reference,Best?,Model and loss function,Classification Task,Feature set,Feature Count,Development dataset,Number of trials,Compute,Train Time,Best Train CV Weighted F2,Best Train CV macro F2,Best Train CV F2 by class,Best model hyperparameters,Blind test weighted F2,Blind test macro F2,Blind test CV F2 by class,Notes
E01,,,LogReg elastic net weighted rp 0.1,Multiclass,time weather carrier,15,15-Sep,,,,0.521,0.247,0.573 | 0.171 | 0.149 | 0.093,,,,,linear baseline
E02,E01,,LogReg weighted centralized 14,Multiclass,time weather carrier,15,Q1 Q2 fold,,,,0.592,0.297,0.687 | 0.260 | 0.130 | 0.110,,,,,best LR macro different fold
E03,E01,,XGBoost focal inv 0.5 2,Multiclass,v3 numeric block,15,15-Sep,5,,,0.8,0.299,0.899 | 0.125 | 0.118 | 0.055,,,,,hand tuned focal champion Sept
E04,E01,,XGBoost focal HPO winner multiclass,Multiclass,base 15 graph prior 60m weather delta,45,3 mo Q1 2015,100,driver,525 s,0.736,0.347,0.848 |  0.220 | 0.181 | 0.140,,,,,best multiclass overall 100 trial TPE trial 70
E05,E01,,LightGBM focal HPO smoke,Multiclass,base 15 graph prior 60m weather delta,45,3 mo Q1 2015,5,driver,116 s,0.731,0.289,0.856 | 0.171 | 0.101 | 0.029,,,,,6 trial smoke only
E06,E01,,XGBoost weighted cross entropy Diogo 3m Binary,Binary,base 15 graph prior 60m weather delta,45,3 mo Q1 2015,,2 Workers,93.8 s,0.7801,0.6326,0.8625 | 0.4027,,,,,binary task 2 classes PySpark Scaling via XGBClassifier but only with Weighted CrossEntropy
E07,E01,,XGBoost weighted cross entropy Diogo 3m Multiclass,Multiclass,base 15 graph prior 60m weather delta,45,3 mo Q1 2015,,2 Workers,281.6 s,0.6965,0.3405,0.8023 | 0.2912 | 0.1807 | 0.0878,,,,,multiclass task 4 classes PySpark Scaling via XGBClassifier but only with Weighted CrossEntropy
E08,,,XGBoost focal HPO winner binary,Binary,base 15 graph prior 60m weather delta,45,3 mo Q1 2015,100,driver,148 s,0.774,0.639,0.845 | 0.433,,,,,best binary 100 trial TPE trial 77 c1 delayed 15 min or more
E09,,,LightGBM focal binary smoke,Binary,base 15 graph prior 60m weather delta,45,3 mo Q1 2015,5,driver,103 s,0.802,0.502,0.960 | 0.044,,,,,5 trial smoke majority corner solution
E10,E01,,XGBoost weighted cross entropy Diogo 1y Binary,Binary,base 15 graph prior 60m weather delta,45,1 yr Q1 to Q3 2015,,2 Workers,270.1 s,0.8315,0.5979,0.9046 | 0.2912,,,,,binary task 2 classes PySpark Scaling via XGBClassifier but only with Weighted CrossEntropy
E11,E01,,XGBoost weighted cross entropy Diogo 1y Multiclass,Multiclass,base 15 graph prior 60m weather delta,45,1 yr Q1 to Q3 2015,,2 Workers,832.1 s,0.7705,0.3209,0.86 | 0.1935 | 0.1316 | 0.0985,,,,,multiclass task 4 classes PySpark Scaling via XGBClassifier but only with Weighted CrossEntropy
E12,E10,*,XGBoost focal HPO 1 yr binary,Binary,base 15 graph prior 60m weather delta,45,1 yr Q1 to Q3 2015,100,driver,242 s,0.8028,0.611,0.862 | 0.359,"alpha = 0.914
colsample_bytree = 0.641
gamma c0 = 1.30
gamma c1 = 0.547
learning rate = 0.04
max_depth = 11
min_child_weight = 17.96
n_estimators = 277
subsample = 0.888",0.688,0.6198,0.7203 | 0.5193,best trial 51 held through later attempts 1.30 0.55 the 3m optimum rung stable focal geometry a t 0.91 277 trees lr 0.036 depth 11 crash recovered via MLflow reseed
E13,,,LSTM focal HPO 1 yr binary,Binary,base 15 graph prior 60m weather delta,45,1 yr Q1 to Q3 2015,10,2 Workers,1320 s,0.859,0.4984,0.971 | 0.026,,,,,first attempt at LSTM
E14,,,LogReg 1 year w Feature Engineering Binary,Binary,base 15 prior 60m weather delta (no graph),39,1 yr Q1 to Q3 2015,1,2 Workers,79.6 s,0.6393,,,,,,,"Logistic Regression with all engineered Features, binary"
E15,E01,,LogReg 1 year w Feature Engineering MultiClass,Multiclass,base 15 prior 60m weather delta (no graph),39,1 yr Q1 to Q3 2015,1,2 Workers,121.2 s,0.3327,,,,,,,
